Variable,Explanation
authors,The authors of the study and the date (citation form)
year,Year of publication of the study
host_tax_broad,
host_tax_fine,
symbiont_tax_broad,
symbiont_tax_fine,
symbiont_euk,
symbiosis,
endo_or_ecto,
mode_of_transmission_broad,
mode_of_transmission_fine,
symbiont,
Visiting_symbiont?,
host_tips_linked,
host_tips_linked_corrected,
host_genera,
total_host_symbioint_links,
host_range_link_ratio,
host_range_taxonomic_breadth,
symbiont_tips_linked,
symbiont_genera,
no_randomizations,
p_value,
method,
