authors,year,host_tax_broad,host_tax_fine,symbiont_tax_broad,symbiont_tax_fine,symbiont_euk,symbiosis,endo_or_ecto,mode_of_transmission_broad,mode_of_transmission_fine,Visiting_symbiont?,host_tips_linked,host_tips_linked_corrected,host_genera,total_host_symbioint_links,host_range_link_ratio,host_range_taxonomic_breadth,symbiont_tips_linked,symbiont_genera,no_randomizations_para,p_value_para,no_randomizations_tree,p_value_tree,match
Banks_et_al_2006,2006,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,18,18,6,30,2,1.6,15,2,10000,0.001,1000,0.01,n
Deng_et_al_2013,2013,Invert,Invert,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,7,7,4,10,1,1,10,2,999,0.01602,999,0.53,y
Desdevises_et_al_2002,2002,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,14,14,11,39,1.95,1.65,20,2,999,0.26,999,0.317,y
Gottschling_et_al_2011,2011,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,43,43,40,78,1,1,78,30,9999,0.0001,1000,0.001,n
Huyse_&_Volckaert_2005,2005,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,8,8,3,22,1.29,1.29,17,1,999,0.095,100,0.02,n
Jousselin_et_al_2009,2009,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,55,22,1,22,1,1,22,1,9999,0.001,10000,0.001,y
Kawakita_et_al_2004,2004,Plant,Plant,Invert,Invert,y,Mutualist,Ecto,horizontal,autonomous,visitor,18,18,1,18,1,1,18,1,999,0.005,999,0.019,y
Lanterbecq_et_al_2010,2010,Invert,Invert,Invert,Invert,y,Parasite,Endo/ecto,horizontal,contact,resident,16,16,12,16,1,1,16,5,1000,0.013,5000,0.04,n
Light_&_Hafner_2008,2008,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,44,21,4,21,1,1,21,1,999,0.001,1000,0.001,y
Mazzon_et_al_2010,2010,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,17,17,10,17,1.06,1.13,16,3,999,0.007,1000,0.001,y
Quek_et_al_2004,2004,Plant,Plant,Invert,Invert,y,Mutualist,Ecto,horizontal,autonomous,resident,9,9,1,19,1.9,1.5,10,1,999,0.779,1000,1,y
Riess_et_al_2018,2013,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,5,5,1,21,1,1,21,1,999,0.013,999,0.045,y
Simkova_et_al_2013,2004,Vert,Tetrapod,Vert,Tetrapod,y,Parasite,Ecto,horizontal,autonomous,resident,33,33,10,34,1.62,1.43,21,1,1000,0.001,100,0.15,n
Sorenson_et_al_2004,2012,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,30,30,29,30,1,1,30,1,1000,0.001,1000,0.001,y
Urban_&_Cryan_2012,2012,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,40,40,38,40,1,1,40,1,1000,0.003,1000,0.001,y
Xu_et_el_2017,2017,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,20,20,8,20,1,1,20,1,999,0.001,1000,0.001,y
