authors,year,host_tax_broad,host_tax_fine,symbiont_tax_broad,symbiont_tax_fine,symbiont_euk,symbiosis,endo_or_ecto,mode_of_transmission_broad,mode_of_transmission_fine,Visiting_symbiont?,host_tips_linked,host_tips_linked_corrected,host_genera,total_host_symbioint_links,host_range_link_ratio,host_range_taxonomic_breadth,symbiont_tips_linked,symbiont_genera,no_randomizations,p_value,method
Althoff_et_al_2012,2012,Plant,Plant,Invert,Invert,y,Mutualist,Ecto,horizontal,autonomous,visitor,24,24,1,40,2,1.35,20,1,1000,0.001,Parafit
Althoff_et_al_2012,2012,Plant,Plant,Invert,Invert,y,Mutualist,Ecto,horizontal,autonomous,visitor,24,24,1,38,2.24,1.53,17,1,1000,0.001,Parafit
Arab_et_al_2019,2019,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,55,55,52,55,1,1,55,1,999,0.001,Parafit
Ballinger_et_al_2018,2018,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,11,11,1,12,1,1,12,1,999,0.07,Parafit
Banks_et_al_2006,2006,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,18,18,6,30,2,1.6,15,2,10000,0.001,Parafit
Bayerlova_2009,2009,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,21,21,14,31,1.55,1.45,20,1,9999,0.0004,Parafit
Bellec_et_al_2014,2014,Plant,Plant,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,22,22,3,133,2.61,1.65,51,1,999,0.001,Parafit
Bruyndonckxx_et_al_2009,2009,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,20,20,7,21,1.91,2.27,11,2,9999,0.003,Parafit
Caraguel_et_al__2007,2007,Microbe,Amoeba,Microbe,Protist,y,Mutualist,Endo,vertical,vertical,resident,6,6,1,6,1,1,6,1,9999,0.001,Parafit
Carneiro_et_al_2018,2018,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,body fluid,resident,26,26,21,26,1,1,26,1,100000,0.01,Parafit
Catanach_et_al_2018,2018,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,54,28,5,44,1.07,0.93,41,30,999,0.001,Parafit
Chen_et_al_2017,2017,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,50,50,11,50,1,1,50,1,999,0.001,Parafit
Choi_&_Thines_2015,2015,Plant,Plant,Microbe,Fungus,y,Parasite,Endo,horizontal,autonomous,resident,63,63,28,63,1,1,63,3,999,0.001,Parafit
Conord_et_al_2008,2008,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,14,14,10,14,1,1,14,1,999,0.009,Parafit
Cornuault_et_al_2012,2012,Vert,Tetrapod,Microbe,Protist,y,Parasite,Endo,horizontal,vector,resident,8,8,1,23,1.28,1.17,18,1,9999,0.035,Parafit
Cruaud_et_al_2012,2012,Plant,Plant,Invert,Invert,y,Mutualist,Endo,horizontal,autonomous,resident,200,200,1,200,1,1,200,20,9999,0.01,Parafit
Cui_et_al_2014,2014,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,body fluid,resident,46,46,46,NA,NA,NA,61,NA,99999,0.233,Parafit
Deng_et_al_2013,2013,Invert,Invert,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,7,7,4,10,1,1,10,2,999,0.01602,Parafit
Desdevises_et_al_2002,2002,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,14,14,11,39,1.95,1.65,20,2,999,0.26,Parafit
Dhami_et_al_2013,2013,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,42,42,NA,42,1,1,42,4,999,0.001,Parafit
Dona_2018,2018,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,14,14,13,15,1,1,15,1,100000,0.01,Parafit
Dona_2018,2018,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,42,42,29,44,1,1,44,1,100000,0.01,Parafit
Dowie_et_al_2016,2016,Microbe,Fungus,Plant,Plant,y,Parasite,Endo,horizontal,environmental,resident,4,4,1,9,2.25,1.5,4,1,9999,0.001,Parafit
Du_Toit_et_al_2013,2013,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,4,4,1,14,1.17,1.17,12,1,10000,0.88,Parafit
Endara_et_al_2017,2017,Plant,Plant,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,visitor,18,18,1,29,1,2.17,29,NA,100,0.7,Parafit
Endara_et_al_2017,2017,Plant,Plant,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,visitor,10,10,1,18,1.5,1.25,12,NA,100,0.9,Parafit
Endara_et_al_2017,2017,Plant,Plant,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,visitor,14,14,1,18,1.2,1.13,15,NA,100,0.74,Parafit
Endara_et_al_2018,2018,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,44,30,1,45,1.18,1.03,38,NA,9999,0.015,Parafit
FerrerParis_et_al_2013,2013,Plant,Plant,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,visitor,64,64,NA,112,2.73,5.2,41,NA,999,0.157,Parafit
FraijaFernandez_et_al_2016,2016,Vert,Tetrapod,Invert,Invert,y,Parasite,Endo,horizontal,trophic,resident,31,31,24,50,5.56,3.67,9,6,999,0.001,Parafit
Garamszegi_2009,2009,Vert,Tetrapod,Microbe,Protist,y,Parasite,Endo,horizontal,vector,resident,23,23,23,43,2.39,2.56,18,1,1000,0.001,Parafit
Garcia_&_Hayman_2016,2016,Vert,Vert,Microbe,Protist,y,Parasite,Endo,horizontal,trophic,resident,22,22,22,36,1.33,1.96,27,1,999,0.01,Parafit
Gavotte_et_al_2007,2007,Microbe,Bacterium,Microbe,Virus,n,Parasite,Endo,both,NA,resident,33,33,1,51,0.93,1,55,1,10000,0.1319,Parafit
Goker_et_al_2011,2011,Microbe,Fungus,Microbe,Virus,n,Parasite,Endo,NA,NA,resident,8,8,8,8,1,1,8,1,9999,0.0978,Parafit
Gomard_et_al_2016,2016,Vert,Tetrapod,Microbe,Bacterium,n,Parasite,Endo,horizontal,NA,resident,12,12,11,26,1,1,26,1,999,0.09,Parafit
Gottschling_et_al_2011,2011,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,43,43,40,78,1,1,78,30,9999,0.0001,Parafit
Graca_et_al_2018,2018,Vert,Fish,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,9,9,7,18,1.29,1.29,14,1,10000,0.0001,Parafit
Hall_et_al__2016,2016,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,37,37,18,37,1,1,37,1,10000,0.001,Parafit
Hall_et_al__2016,2016,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,20,20,9,20,1,1,20,1,10000,0.387,Parafit
Hammer_et_al_2010,2010,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,23,23,6,23,1.1,1,21,1,999,0.001,Parafit
Hammerlinck_et_al_2016,2016,Invert,Invert,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,11,11,2,11,1.38,1.13,8,2,999,0.129,Parafit
Hammerlinck_et_al_2016,2016,Invert,Invert,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,6,6,2,6,1.5,1.25,4,2,999,0.195,Parafit
Hammerlinck_et_al_2016,2016,Invert,Invert,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,7,7,2,7,1,1,7,2,999,0.042,Parafit
Hembry_et_al_2013,2013,Plant,Plant,Invert,Invert,y,Mutualist,Ecto,horizontal,autonomous,visitor,37,37,1,35,1,1,35,1,999,0.017,Parafit
Herrera__et_al_2016,2016,Microbe,Fungus,Microbe,Fungus,y,Parasite,Endo,horizontal,environmental,resident,13,13,9,13,1,1,13,3,999,0.005,Parafit
Hewitt_et_al_2019,2019,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,178,178,79,495,7.17,3.3,69,35,999,0.001,Parafit
Hoglund_et_al_2003,2003,Vert,Vert,Invert,Invert,y,Parasite,Endo,horizontal,trophic,resident,8,8,8,10,2,2.4,5,1,10000,0.098,Parafit
Holzer_et_al_2018,2018,Invert,Invert,Invert,Invert,y,Parasite,Endo,horizontal,environmental,resident,23,23,22,39,1,1,39,21,1000,0.001,Parafit
Holzer_et_al_2018,2018,Vert,Fish,Invert,Invert,y,Parasite,Endo,horizontal,environmental,resident,69,69,62,101,1,1,101,15,1000,0.001,Parafit
Holzer_et_al_2018,2018,Vert,Fish,Invert,Invert,y,Parasite,Endo,horizontal,environmental,resident,69,69,58,75,1,1,75,21,1000,0.001,Parafit
Hughes_et_al_2007,2007,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,18,18,6,18,1.06,1,17,1,999,0.0001,Parafit
Huyse_&_Volckaert_2005,2005,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,8,8,3,22,1.29,1.29,17,1,999,0.095,Parafit
Irwin_et_al_2012,2012,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,21,21,14,31,1.55,1.85,20,NA,9999,0.0004,Parafit
Jenkins_et_al_2012,2012,Vert,Tetrapod,Microbe,Protist,y,Parasite,Endo,horizontal,autonomous,resident,52,52,40,138,1.45,NA,95,1,999,0.001,Parafit
